"","like"
"whole",0.09
"widely",0.09
"worth",0.09
"accept",0.08
"actually",0.08
"add",0.08
"air",0.08
"airlines",0.08
"alcohol",0.08
"amount",0.08
"back",0.08
"beautiful",0.08
"become",0.08
"beer",0.08
"case",0.08
"certain",0.08
"charge",0.08
"cheapest",0.08
"chicken",0.08
"chinese",0.08
"choose",0.08
"clubs",0.08
"coffee",0.08
"consider",0.08
"cooked",0.08
"cover",0.08
"crime",0.08
"cuisine",0.08
"dark",0.08
"eaten",0.08
"eating",0.08
"else",0.08
"european",0.08
"everything",0.08
"extra",0.08
"extremely",0.08
"far",0.08
"fast",0.08
"foreigners",0.08
"fruit",0.08
"great",0.08
"higher",0.08
"illegal",0.08
"items",0.08
"likely",0.08
"list",0.08
"longer",0.08
"low",0.08
"mainly",0.08
"making",0.08
"meal",0.08
"meat",0.08
"mind",0.08
"miss",0.08
"mixed",0.08
"near",0.08
"nightlife",0.08
"note",0.08
"nothing",0.08
"offices",0.08
"ones",0.08
"outside",0.08
"paying",0.08
"plan",0.08
"plenty",0.08
"pork",0.08
"prefer",0.08
"pretty",0.08
"probably",0.08
"rather",0.08
"reasonable",0.08
"require",0.08
"rice",0.08
"ride",0.08
"roads",0.08
"shops",0.08
"special",0.08
"spoken",0.08
"staff",0.08
"standard",0.08
"streets",0.08
"strong",0.08
"tastes",0.08
"tasty",0.08
"taxi",0.08
"thing",0.08
"throughout",0.08
"trying",0.08
"unique",0.08
"unless",0.08
"unlike",0.08
"using",0.08
"vegetarian",0.08
"visit",0.08
"wait",0.08
"water",0.08
"wide",0.08
"women",0.08
"work",0.08
"young",0.08
"'ve",0.07
"advisable",0.07
"already",0.07
"animals",0.07
"anywhere",0.07
"bigger",0.07
"biggest",0.07
"book",0.07
"business",0.07
"buying",0.07
"call",0.07
"card",0.07
"cards",0.07
"care",0.07
"carry",0.07
"charges",0.07
"close",0.07
"coconut",0.07
"considered",0.07
"couple",0.07
"currency",0.07
"customers",0.07
"dance",0.07
"difficult",0.07
"divided",0.07
"driving",0.07
"due",0.07
"everywhere",0.07
"exchange",0.07
"forget",0.07
"form",0.07
"fresh",0.07
"fruits",0.07
"full",0.07
"fun",0.07
"gets",0.07
"hand",0.07
"hindu",0.07
"however",0.07
"imported",0.07
"let",0.07
"life",0.07
"live",0.07
"local",0.07
"major",0.07
"majority",0.07
"malls",0.07
"mango",0.07
"milk",0.07
"mix",0.07
"names",0.07
"next",0.07
"notice",0.07
"passengers",0.07
"rarely",0.07
"right",0.07
"served",0.07
"share",0.07
"shopping",0.07
"simply",0.07
"sit",0.07
"spanish",0.07
"speaking",0.07
"spot",0.07
"stand",0.07
"start",0.07
"stores",0.07
"stuff",0.07
"top",0.07
"typically",0.07
"violent",0.07
"way",0.07
"whether",0.07
"wise",0.07
"word",0.07
