"","passport"
"bag",0.09
"baggage",0.09
"bank",0.09
"better",0.09
"bills",0.09
"bring",0.09
"buy",0.09
"calls",0.09
"care",0.09
"case",0.09
"cause",0.09
"certain",0.09
"cheap",0.09
"companies",0.09
"consider",0.09
"criminal",0.09
"demand",0.09
"departure",0.09
"difficult",0.09
"documents",0.09
"english",0.09
"ensure",0.09
"flights",0.09
"foreigner",0.09
"getting",0.09
"holders",0.09
"hospitals",0.09
"hotels",0.09
"know",0.09
"leaving",0.09
"longer",0.09
"ministry",0.09
"much",0.09
"never",0.09
"normally",0.09
"obtained",0.09
"polite",0.09
"possible",0.09
"purchase",0.09
"purchased",0.09
"regions",0.09
"relations",0.09
"remember",0.09
"requires",0.09
"return",0.09
"rule",0.09
"safer",0.09
"seem",0.09
"sell",0.09
"sensitive",0.09
"serious",0.09
"strict",0.09
"tax",0.09
"taxi",0.09
"tell",0.09
"thailand",0.09
"tickets",0.09
"tourists",0.09
"try",0.09
"typically",0.09
"upon",0.09
"using",0.09
"violent",0.09
"wise",0.09
"''''",0.08
"''''''",0.08
"'ll",0.08
"'re",0.08
"advisable",0.08
"agent",0.08
"agreement",0.08
"air",0.08
"airline",0.08
"almost",0.08
"already",0.08
"anything",0.08
"applies",0.08
"assume",0.08
"bags",0.08
"banks",0.08
"belongings",0.08
"book",0.08
"carrying",0.08
"cases",0.08
"charged",0.08
"cheapest",0.08
"checked",0.08
"compared",0.08
"conflict",0.08
"consumed",0.08
"country's",0.08
"cross",0.08
"customary",0.08
"dangerous",0.08
"days",0.08
"depending",0.08
"deposit",0.08
"despite",0.08
"dollar",0.08
"drink",0.08
"due",0.08
"either",0.08
"equivalent",0.08
"ethnic",0.08
"expected",0.08
"extra",0.08
"extremely",0.08
"fee",0.08
"fixed",0.08
"flight",0.08
"form",0.08
"get",0.08
"hands",0.08
"hassle",0.08
"health",0.08
"help",0.08
"higher",0.08
"highly",0.08
"however",0.08
"idea",0.08
"internet",0.08
"issues",0.08
"law",0.08
"legally",0.08
"less",0.08
"let",0.08
"letter",0.08
"list",0.08
"mean",0.08
"muslim",0.08
"nations",0.08
"necessary",0.08
"negotiate",0.08
"office",0.08
"officially",0.08
"onward",0.08
"operators",0.08
"photo",0.08
"plan",0.08
"planning",0.08
"plastic",0.08
"postal",0.08
"rather",0.08
"recent",0.08
"report",0.08
"reports",0.08
"reputable",0.08
"result",0.08
"say",0.08
"side",0.08
"similar",0.08
"slightly",0.08
"sold",0.08
"speaking",0.08
"spoken",0.08
"stopped",0.08
"taking",0.08
"tap",0.08
"taxis",0.08
"though",0.08
"ticket",0.08
"tight",0.08
"time",0.08
"traffic",0.08
"travelling",0.08
"trouble",0.08
"trying",0.08
"un",0.08
"united",0.08
"valuables",0.08
"violence",0.08
"vip",0.08
"waiting",0.08
"wary",0.08
"westerners",0.08
"whether",0.08
"allow",0.07
"another",0.07
"anywhere",0.07
"arabic",0.07
"atm",0.07
"attempt",0.07
"booking",0.07
"bottles",0.07
"cars",0.07
"citizen",0.07
"commonly",0.07
"dealing",0.07
"difference",0.07
"dish",0.07
"domestic",0.07
"easier",0.07
"emergency",0.07
"exception",0.07
"fees",0.07
"find",0.07
"flies",0.07
"following",0.07
"groups",0.07
"imported",0.07
"internal",0.07
"laws",0.07
"leaves",0.07
"men",0.07
"military",0.07
"multiple",0.07
"operate",0.07
"people",0.07
"people's",0.07
"policy",0.07
"prepared",0.07
"purchasing",0.07
"queue",0.07
"quite",0.07
"readily",0.07
"reported",0.07
"roaming",0.07
"separate",0.07
"short",0.07
"show",0.07
"simply",0.07
"someone",0.07
"staff",0.07
"stay",0.07
"talking",0.07
"territory",0.07
"thai",0.07
"traveling",0.07
"traveller",0.07
"usd",0.07
"used",0.07
"wear",0.07
