"","tend"
"hard",0.09
"insist",0.09
"instead",0.09
"internet",0.09
"legal",0.09
"little",0.09
"look",0.09
"looking",0.09
"many",0.09
"nationals",0.09
"normally",0.09
"notes",0.09
"obtain",0.09
"offices",0.09
"ones",0.09
"others",0.09
"outside",0.09
"parts",0.09
"passengers",0.09
"people",0.09
"places",0.09
"plan",0.09
"possible",0.09
"problems",0.09
"purchase",0.09
"purchasing",0.09
"really",0.09
"recent",0.09
"risk",0.09
"simply",0.09
"someone",0.09
"somewhat",0.09
"speak",0.09
"standard",0.09
"think",0.09
"throughout",0.09
"tickets",0.09
"tourists",0.09
"travel",0.09
"unlikely",0.09
"using",0.09
"valid",0.09
"want",0.09
"work",0.09
"worth",0.09
"'ll",0.08
"'s",0.08
"able",0.08
"advance",0.08
"aggressive",0.08
"amount",0.08
"another",0.08
"applies",0.08
"asking",0.08
"atms",0.08
"average",0.08
"becoming",0.08
"care",0.08
"cars",0.08
"chains",0.08
"change",0.08
"clubs",0.08
"coins",0.08
"commonly",0.08
"cover",0.08
"customary",0.08
"dish",0.08
"dishes",0.08
"drugs",0.08
"else",0.08
"everywhere",0.08
"fines",0.08
"food",0.08
"found",0.08
"gay",0.08
"given",0.08
"go",0.08
"heavy",0.08
"help",0.08
"high",0.08
"however",0.08
"idea",0.08
"include",0.08
"intend",0.08
"large",0.08
"larger",0.08
"law",0.08
"license",0.08
"limit",0.08
"locations",0.08
"longer",0.08
"low",0.08
"lower",0.08
"majority",0.08
"maps",0.08
"mean",0.08
"means",0.08
"meat",0.08
"never",0.08
"night",0.08
"numbers",0.08
"older",0.08
"online",0.08
"operate",0.08
"option",0.08
"order",0.08
"paid",0.08
"particular",0.08
"passports",0.08
"paying",0.08
"payment",0.08
"per",0.08
"popular",0.08
"prepared",0.08
"range",0.08
"rates",0.08
"regardless",0.08
"remember",0.08
"routes",0.08
"say",0.08
"scattered",0.08
"seem",0.08
"sell",0.08
"sense",0.08
"serve",0.08
"show",0.08
"specific",0.08
"speed",0.08
"staff",0.08
"start",0.08
"stay",0.08
"still",0.08
"strong",0.08
"sufficient",0.08
"system",0.08
"table",0.08
"talking",0.08
"tap",0.08
"terms",0.08
"therefore",0.08
"ticket",0.08
"traveller",0.08
"travellers",0.08
"uncommon",0.08
"unlike",0.08
"urban",0.08
"vary",0.08
"vehicles",0.08
"violent",0.08
"virtually",0.08
"wait",0.08
"wear",0.08
"well",0.08
"whether",0.08
"widespread",0.08
"women",0.08
"acceptable",0.07
"anyone",0.07
"assume",0.07
"attention",0.07
"bargaining",0.07
"best",0.07
"busy",0.07
"charged",0.07
"cheapest",0.07
"choice",0.07
"choose",0.07
"conditions",0.07
"country's",0.07
"dangerous",0.07
"day",0.07
"debit",0.07
"domestic",0.07
"easier",0.07
"eating",0.07
"encounter",0.07
"enough",0.07
"enter",0.07
"expected",0.07
"fare",0.07
"fill",0.07
"fixed",0.07
"friendly",0.07
"giving",0.07
"government",0.07
"imported",0.07
"individual",0.07
"lack",0.07
"languages",0.07
"late",0.07
"limited",0.07
"long",0.07
"luggage",0.07
"major",0.07
"medical",0.07
"mix",0.07
"must",0.07
"names",0.07
"necessary",0.07
"nightlife",0.07
"normal",0.07
"occasional",0.07
"operators",0.07
"perhaps",0.07
"probably",0.07
"purchased",0.07
"put",0.07
"quality",0.07
"receive",0.07
"refuse",0.07
"regarding",0.07
"required",0.07
"respect",0.07
"roads",0.07
"rule",0.07
"services",0.07
"single",0.07
"solo",0.07
"something",0.07
"speakers",0.07
"staying",0.07
"streets",0.07
"strictly",0.07
"surprised",0.07
"tell",0.07
"tourist",0.07
"trying",0.07
"type",0.07
"ubiquitous",0.07
"united",0.07
"value",0.07
"variety",0.07
"vendors",0.07
"weather",0.07
"wide",0.07
"words",0.07
