"","pay"
"back",0.11
"bags",0.11
"basic",0.11
"beware",0.11
"booking",0.11
"bottle",0.11
"bring",0.11
"buses",0.11
"can",0.11
"case",0.11
"come",0.11
"companies",0.11
"consider",0.11
"difficult",0.11
"dishes",0.11
"either",0.11
"enter",0.11
"entrance",0.11
"fees",0.11
"finding",0.11
"food",0.11
"going",0.11
"illegal",0.11
"issue",0.11
"leaving",0.11
"like",0.11
"little",0.11
"look",0.11
"mobile",0.11
"normal",0.11
"notes",0.11
"offices",0.11
"outside",0.11
"passengers",0.11
"plan",0.11
"rarely",0.11
"rates",0.11
"really",0.11
"reasonable",0.11
"receive",0.11
"regardless",0.11
"remember",0.11
"required",0.11
"room",0.11
"safe",0.11
"save",0.11
"simply",0.11
"slightly",0.11
"someone",0.11
"speak",0.11
"standard",0.11
"start",0.11
"take",0.11
"traffic",0.11
"trying",0.11
"typically",0.11
"using",0.11
"women",0.11
"work",0.11
"advisable",0.1
"air",0.1
"already",0.1
"anything",0.1
"anywhere",0.1
"arrive",0.1
"arriving",0.1
"atm",0.1
"beer",0.1
"big",0.1
"certain",0.1
"charged",0.1
"choose",0.1
"coins",0.1
"commission",0.1
"decent",0.1
"departure",0.1
"drink",0.1
"drinking",0.1
"entry",0.1
"european",0.1
"extremely",0.1
"far",0.1
"feel",0.1
"free",0.1
"friendly",0.1
"highly",0.1
"hours",0.1
"however",0.1
"included",0.1
"inside",0.1
"let",0.1
"mind",0.1
"never",0.1
"nice",0.1
"obtain",0.1
"official",0.1
"ones",0.1
"operators",0.1
"others",0.1
"passports",0.1
"phones",0.1
"plastic",0.1
"problems",0.1
"purchase",0.1
"purchased",0.1
"put",0.1
"quality",0.1
"rather",0.1
"relatively",0.1
"require",0.1
"risk",0.1
"rooms",0.1
"security",0.1
"see",0.1
"serious",0.1
"shared",0.1
"side",0.1
"similar",0.1
"single",0.1
"sold",0.1
"something",0.1
"staying",0.1
"still",0.1
"takes",0.1
"taking",0.1
"tend",0.1
"times",0.1
"tipping",0.1
"tourist",0.1
"travel",0.1
"travellers",0.1
"waiting",0.1
"walk",0.1
"way",0.1
"whole",0.1
"willing",0.1
"worse",0.1
"worth",0.1
"actually",0.09
"advantage",0.09
"agents",0.09
"alcohol",0.09
"anyone",0.09
"available",0.09
"bars",0.09
"behind",0.09
"best",0.09
"bottled",0.09
"bottles",0.09
"bus",0.09
"call",0.09
"care",0.09
"cases",0.09
"charges",0.09
"choice",0.09
"citizens",0.09
"close",0.09
"conductor",0.09
"couple",0.09
"cover",0.09
"crowded",0.09
"customs",0.09
"days",0.09
"deal",0.09
"debit",0.09
"definitely",0.09
"demand",0.09
"drunk",0.09
"due",0.09
"end",0.09
"entering",0.09
"every",0.09
"expected",0.09
"fairly",0.09
"fares",0.09
"fill",0.09
"found",0.09
"fruit",0.09
"full",0.09
"given",0.09
"hand",0.09
"helpful",0.09
"holders",0.09
"id",0.09
"ignore",0.09
"imported",0.09
"issued",0.09
"journey",0.09
"just",0.09
"leaves",0.09
"legal",0.09
"limited",0.09
"long",0.09
"lot",0.09
"low",0.09
"meal",0.09
"means",0.09
"meat",0.09
"morning",0.09
"mostly",0.09
"motorbike",0.09
"number",0.09
"numbers",0.09
"order",0.09
"plate",0.09
"polite",0.09
"political",0.09
"private",0.09
"quoted",0.09
"reliable",0.09
"right",0.09
"rp",0.09
"rude",0.09
"run",0.09
"safety",0.09
"season",0.09
"selling",0.09
"serve",0.09
"set",0.09
"show",0.09
"sign",0.09
"simple",0.09
"sit",0.09
"spend",0.09
"surcharge",0.09
"terminal",0.09
"think",0.09
"top",0.09
"tour",0.09
"transport",0.09
"trips",0.09
"unlike",0.09
"upon",0.09
"used",0.09
"useful",0.09
"usual",0.09
"valuables",0.09
"value",0.09
"vendors",0.09
"whether",0.09
"wi-fi",0.09
"wish",0.09
"yellow",0.09
"''''",0.08
"add",0.08
"additional",0.08
"african",0.08
"agencies",0.08
"agency",0.08
"agent",0.08
"aggressive",0.08
"agreed",0.08
"airlines",0.08
"allow",0.08
"alone",0.08
"asian",0.08
"average",0.08
"bargaining",0.08
"become",0.08
"bills",0.08
"board",0.08
"boats",0.08
"booked",0.08
"bought",0.08
"brands",0.08
"cafes",0.08
"calls",0.08
"camera",0.08
"carrying",0.08
"cars",0.08
"cause",0.08
"certainly",0.08
"clubs",0.08
"cocktails",0.08
"coffee",0.08
"compared",0.08
"consulate",0.08
"counter",0.08
"dark",0.08
"depart",0.08
"depends",0.08
"deposit",0.08
"directly",0.08
"dish",0.08
"door",0.08
"dorm",0.08
"double",0.08
"driver's",0.08
"drop",0.08
"eat",0.08
"eating",0.08
"electronic",0.08
"enough",0.08
"ensure",0.08
"except",0.08
"expats",0.08
"fast",0.08
"floor",0.08
"forbidden",0.08
"foreigner",0.08
"form",0.08
"fruits",0.08
"gay",0.08
"gets",0.08
"goods",0.08
"gsm",0.08
"guards",0.08
"guides",0.08
"hail",0.08
"half",0.08
"head",0.08
"hire",0.08
"hostels",0.08
"hour",0.08
"inflated",0.08
"intend",0.08
"last",0.08
"late",0.08
"list",0.08
"looking",0.08
"lower",0.08
"machine",0.08
"making",0.08
"mean",0.08
"meet",0.08
"men",0.08
"meter",0.08
"minibus",0.08
"minibuses",0.08
"minimum",0.08
"modern",0.08
"offering",0.08
"office",0.08
"one",0.08
"online",0.08
"options",0.08
"otherwise",0.08
"overpriced",0.08
"owner",0.08
"perhaps",0.08
"places",0.08
"please",0.08
"plenty",0.08
"poor",0.08
"preferably",0.08
"real",0.08
"recent",0.08
"rent",0.08
"report",0.08
"reputable",0.08
"rice",0.08
"rooftop",0.08
"rule",0.08
"rules",0.08
"safer",0.08
"saying",0.08
"seats",0.08
"second",0.08
"seems",0.08
"somewhat",0.08
"speaking",0.08
"speed",0.08
"standards",0.08
"starting",0.08
"stick",0.08
"stop",0.08
"tap",0.08
"terminals",0.08
"theft",0.08
"things",0.08
"three",0.08
"tips",0.08
"two",0.08
"types",0.08
"ubiquitous",0.08
"usd",0.08
"visit",0.08
"wary",0.08
"wear",0.08
"whatever",0.08
"widely",0.08
"wise",0.08
"young",0.08
"'ve",0.07
"afford",0.07
"approach",0.07
"arrivals",0.07
"attempt",0.07
"away",0.07
"bank",0.07
"booths",0.07
"checking",0.07
"class",0.07
"customers",0.07
"dealing",0.07
"desk",0.07
"despite",0.07
"difference",0.07
"discount",0.07
"discuss",0.07
"domestic",0.07
"driving",0.07
"else",0.07
"elsewhere",0.07
"embassies",0.07
"empty",0.07
"everything",0.07
"exact",0.07
"excellent",0.07
"government",0.07
"group",0.07
"groups",0.07
"happen",0.07
"happy",0.07
"huge",0.07
"language",0.07
"left",0.07
"license",0.07
"machines",0.07
"made",0.07
"many",0.07
"maybe",0.07
"mosquito",0.07
"nationals",0.07
"officers",0.07
"operating",0.07
"operator",0.07
"opposite",0.07
"overnight",0.07
"particular",0.07
"party",0.07
"place",0.07
"pretty",0.07
"printed",0.07
"process",0.07
"queue",0.07
"quiet",0.07
"reason",0.07
"reports",0.07
"roof",0.07
"send",0.07
"share",0.07
"shops",0.07
"since",0.07
"situation",0.07
"slow",0.07
"smaller",0.07
"social",0.07
"stalls",0.07
"streets",0.07
"student",0.07
"surprised",0.07
"system",0.07
"table",0.07
"talking",0.07
"travelling",0.07
"type",0.07
"uses",0.07
"vegetarian",0.07
"violent",0.07
"visiting",0.07
"wallet",0.07
"watch",0.07
"water",0.07
"well",0.07
"wifi",0.07
"written",0.07
