"","paying"
"definitely",0.08
"departure",0.08
"depending",0.08
"different",0.08
"difficult",0.08
"discount",0.08
"driver's",0.08
"enforced",0.08
"english",0.08
"ensure",0.08
"entering",0.08
"european",0.08
"exception",0.08
"extremely",0.08
"fast",0.08
"feel",0.08
"find",0.08
"finding",0.08
"food",0.08
"front",0.08
"gay",0.08
"get",0.08
"go",0.08
"going",0.08
"gsm",0.08
"hard",0.08
"highly",0.08
"hostels",0.08
"imported",0.08
"internet",0.08
"law",0.08
"leaving",0.08
"legal",0.08
"less",0.08
"like",0.08
"locals",0.08
"longer",0.08
"look",0.08
"low",0.08
"much",0.08
"night",0.08
"normally",0.08
"officers",0.08
"offices",0.08
"others",0.08
"outside",0.08
"people",0.08
"per",0.08
"phones",0.08
"pick",0.08
"policy",0.08
"possible",0.08
"prepared",0.08
"probably",0.08
"prove",0.08
"purchasing",0.08
"quality",0.08
"quoted",0.08
"rates",0.08
"rather",0.08
"regardless",0.08
"reliable",0.08
"remember",0.08
"return",0.08
"ride",0.08
"room",0.08
"rule",0.08
"rules",0.08
"safe",0.08
"seats",0.08
"security",0.08
"serious",0.08
"single",0.08
"slightly",0.08
"smaller",0.08
"sold",0.08
"stay",0.08
"staying",0.08
"taken",0.08
"taxis",0.08
"tell",0.08
"tend",0.08
"terminals",0.08
"think",0.08
"tourists",0.08
"traffic",0.08
"travel",0.08
"typically",0.08
"upon",0.08
"using",0.08
"valuables",0.08
"vary",0.08
"wary",0.08
"women",0.08
"worth",0.08
"agencies",0.07
"agree",0.07
"allow",0.07
"almost",0.07
"areas",0.07
"assume",0.07
"bottled",0.07
"bring",0.07
"care",0.07
"certainly",0.07
"checking",0.07
"choice",0.07
"class",0.07
"clean",0.07
"counter",0.07
"coverage",0.07
"crime",0.07
"days",0.07
"decide",0.07
"drink",0.07
"drinks",0.07
"drugs",0.07
"educated",0.07
"either",0.07
"everywhere",0.07
"except",0.07
"expected",0.07
"fares",0.07
"fees",0.07
"fixed",0.07
"foreigner",0.07
"idea",0.07
"ignore",0.07
"issued",0.07
"job",0.07
"language",0.07
"laws",0.07
"learn",0.07
"majority",0.07
"mean",0.07
"medical",0.07
"morning",0.07
"nationals",0.07
"next",0.07
"ones",0.07
"particular",0.07
"pin",0.07
"places",0.07
"political",0.07
"problems",0.07
"provide",0.07
"purchased",0.07
"reasonable",0.07
"relatively",0.07
"report",0.07
"safety",0.07
"seem",0.07
"seems",0.07
"send",0.07
"surcharge",0.07
"time",0.07
"tips",0.07
"travellers",0.07
"types",0.07
"unlimited",0.07
"widely",0.07
