"","card"
"medical",0.1
"network",0.1
"normally",0.1
"notes",0.1
"officer",0.1
"online",0.1
"political",0.1
"problems",0.1
"public",0.1
"purchased",0.1
"rarely",0.1
"refuse",0.1
"remember",0.1
"rules",0.1
"save",0.1
"say",0.1
"send",0.1
"situation",0.1
"stations",0.1
"student",0.1
"system",0.1
"trains",0.1
"travel",0.1
"unlimited",0.1
"vending",0.1
"violent",0.1
"widely",0.1
"'ll",0.09
"able",0.09
"additional",0.09
"although",0.09
"amount",0.09
"applies",0.09
"asking",0.09
"baggage",0.09
"bars",0.09
"bills",0.09
"booked",0.09
"brands",0.09
"calls",0.09
"care",0.09
"careful",0.09
"carry",0.09
"cases",0.09
"consulate",0.09
"copy",0.09
"days",0.09
"dollars",0.09
"domestic",0.09
"drink",0.09
"driver's",0.09
"enter",0.09
"equivalent",0.09
"except",0.09
"expected",0.09
"fare",0.09
"find",0.09
"foreigner",0.09
"hard",0.09
"health",0.09
"higher",0.09
"hostels",0.09
"idea",0.09
"intend",0.09
"issue",0.09
"kiosks",0.09
"language",0.09
"law",0.09
"lines",0.09
"list",0.09
"machine",0.09
"mind",0.09
"never",0.09
"normal",0.09
"offer",0.09
"officers",0.09
"operator",0.09
"order",0.09
"passports",0.09
"planning",0.09
"policy",0.09
"politics",0.09
"rates",0.09
"rather",0.09
"return",0.09
"safer",0.09
"saying",0.09
"shops",0.09
"show",0.09
"similar",0.09
"simply",0.09
"single",0.09
"sold",0.09
"someone",0.09
"speak",0.09
"stamp",0.09
"stores",0.09
"surcharge",0.09
"tap",0.09
"traffic",0.09
"try",0.09
"trying",0.09
"typically",0.09
"university",0.09
"unlikely",0.09
"uses",0.09
"wait",0.09
"wallet",0.09
"wise",0.09
"'re",0.08
"airlines",0.08
"alcohol",0.08
"allow",0.08
"already",0.08
"areas",0.08
"arrivals",0.08
"asked",0.08
"attention",0.08
"bank",0.08
"better",0.08
"bill",0.08
"boarding",0.08
"book",0.08
"booking",0.08
"buses",0.08
"call",0.08
"calling",0.08
"carrier",0.08
"carriers",0.08
"cause",0.08
"centres",0.08
"charges",0.08
"cheapest",0.08
"computer",0.08
"considered",0.08
"cover",0.08
"coverage",0.08
"customary",0.08
"dangerous",0.08
"data",0.08
"dealing",0.08
"departure",0.08
"depending",0.08
"deposit",0.08
"desk",0.08
"differ",0.08
"different",0.08
"difficult",0.08
"discounts",0.08
"dishes",0.08
"driving",0.08
"drugs",0.08
"embassies",0.08
"emergency",0.08
"europe",0.08
"exception",0.08
"extremely",0.08
"fees",0.08
"financial",0.08
"fines",0.08
"fixed",0.08
"found",0.08
"gay",0.08
"getting",0.08
"given",0.08
"going",0.08
"government",0.08
"helpful",0.08
"highly",0.08
"hold",0.08
"hospitals",0.08
"job",0.08
"languages",0.08
"laws",0.08
"leave",0.08
"less",0.08
"limit",0.08
"longer",0.08
"look",0.08
"mean",0.08
"modern",0.08
"night",0.08
"nightlife",0.08
"office",0.08
"ones",0.08
"operators",0.08
"others",0.08
"person",0.08
"personal",0.08
"pick",0.08
"plan",0.08
"please",0.08
"polite",0.08
"prepared",0.08
"printed",0.08
"proof",0.08
"purchasing",0.08
"put",0.08
"random",0.08
"recent",0.08
"reduced",0.08
"regardless",0.08
"relations",0.08
"respect",0.08
"risk",0.08
"rule",0.08
"serious",0.08
"shopping",0.08
"since",0.08
"slightly",0.08
"social",0.08
"something",0.08
"specific",0.08
"staff",0.08
"start",0.08
"streets",0.08
"strict",0.08
"students",0.08
"tax",0.08
"taxi",0.08
"taxis",0.08
"teaching",0.08
"tell",0.08
"temporary",0.08
"terminals",0.08
"though",0.08
"throughout",0.08
"time",0.08
"trams",0.08
"travellers",0.08
"upon",0.08
"useful",0.08
"valuables",0.08
"vary",0.08
"waiting",0.08
"want",0.08
"wary",0.08
"wifi",0.08
"women",0.08
"words",0.08
"young",0.08
"''''",0.07
"''''''",0.07
"account",0.07
"advantage",0.07
"announced",0.07
"assistance",0.07
"assume",0.07
"belongings",0.07
"booths",0.07
"bottled",0.07
"business",0.07
"carrying",0.07
"commission",0.07
"crowded",0.07
"delays",0.07
"despite",0.07
"discuss",0.07
"drunk",0.07
"exceed",0.07
"feel",0.07
"fill",0.07
"finding",0.07
"forbidden",0.07
"hand",0.07
"identical",0.07
"identity",0.07
"ignore",0.07
"increasing",0.07
"late",0.07
"let",0.07
"like",0.07
"lockers",0.07
"low",0.07
"major",0.07
"maps",0.07
"maximum",0.07
"means",0.07
"menus",0.07
"metro",0.07
"names",0.07
"nationals",0.07
"notice",0.07
"one-way",0.07
"onward",0.07
"operate",0.07
"option",0.07
"particular",0.07
"per",0.07
"photo",0.07
"practice",0.07
"probably",0.07
"provided",0.07
"providers",0.07
"rental",0.07
"report",0.07
"republic",0.07
"smart",0.07
"speaking",0.07
"speed",0.07
"standard",0.07
"stay",0.07
"staying",0.07
"subway",0.07
"talking",0.07
"theft",0.07
"tips",0.07
"tourists",0.07
"train",0.07
"traveling",0.07
"trendy",0.07
"ubiquitous",0.07
"uk",0.07
"urban",0.07
"violence",0.07
"wi-fi",0.07
"wide",0.07
"widespread",0.07
"will",0.07
"written",0.07
"zones",0.07
