"","especially"
"best",0.1
"care",0.1
"carry",0.1
"cars",0.1
"case",0.1
"cases",0.1
"citizens",0.1
"considered",0.1
"cover",0.1
"crowded",0.1
"despite",0.1
"difficult",0.1
"dish",0.1
"drinking",0.1
"driver",0.1
"drunk",0.1
"embassy",0.1
"feel",0.1
"get",0.1
"getting",0.1
"give",0.1
"however",0.1
"insurance",0.1
"known",0.1
"large",0.1
"larger",0.1
"legal",0.1
"look",0.1
"lot",0.1
"low",0.1
"major",0.1
"majority",0.1
"meat",0.1
"network",0.1
"never",0.1
"ones",0.1
"others",0.1
"outside",0.1
"paying",0.1
"possible",0.1
"prepaid",0.1
"prepared",0.1
"probably",0.1
"rate",0.1
"recent",0.1
"remember",0.1
"respect",0.1
"rest",0.1
"risk",0.1
"routes",0.1
"rule",0.1
"rural",0.1
"security",0.1
"serious",0.1
"several",0.1
"sim",0.1
"since",0.1
"slightly",0.1
"somewhat",0.1
"standard",0.1
"stay",0.1
"strong",0.1
"ticket",0.1
"tourist",0.1
"typically",0.1
"using",0.1
"valid",0.1
"widespread",0.1
"women",0.1
"''''",0.09
"'ll",0.09
"'s",0.09
"able",0.09
"advance",0.09
"advisable",0.09
"alcohol",0.09
"allow",0.09
"amount",0.09
"apply",0.09
"atms",0.09
"attention",0.09
"available",0.09
"big",0.09
"bottled",0.09
"brands",0.09
"budget",0.09
"busy",0.09
"buying",0.09
"call",0.09
"called",0.09
"cash",0.09
"cause",0.09
"change",0.09
"climate",0.09
"clubs",0.09
"consider",0.09
"cost",0.09
"credit",0.09
"culture",0.09
"depending",0.09
"domestic",0.09
"drugs",0.09
"elsewhere",0.09
"emergency",0.09
"everywhere",0.09
"excellent",0.09
"exception",0.09
"fairly",0.09
"far",0.09
"food",0.09
"form",0.09
"frequently",0.09
"gets",0.09
"go",0.09
"going",0.09
"hear",0.09
"help",0.09
"highly",0.09
"hotels",0.09
"kind",0.09
"late",0.09
"law",0.09
"longer",0.09
"looking",0.09
"made",0.09
"mobile",0.09
"nearly",0.09
"nightlife",0.09
"normal",0.09
"numbers",0.09
"offices",0.09
"older",0.09
"particular",0.09
"place",0.09
"plenty",0.09
"poor",0.09
"problems",0.09
"provide",0.09
"purchase",0.09
"quality",0.09
"range",0.09
"require",0.09
"required",0.09
"see",0.09
"seem",0.09
"sell",0.09
"serve",0.09
"served",0.09
"severe",0.09
"shops",0.09
"situation",0.09
"sold",0.09
"someone",0.09
"something",0.09
"speaking",0.09
"start",0.09
"streets",0.09
"system",0.09
"tap",0.09
"taxis",0.09
"tends",0.09
"tickets",0.09
"times",0.09
"tipping",0.09
"traveling",0.09
"travellers",0.09
"trying",0.09
"uncommon",0.09
"university",0.09
"unlike",0.09
"urban",0.09
"valuables",0.09
"variety",0.09
"vary",0.09
"visas",0.09
"world",0.09
"actually",0.08
"additional",0.08
"advantage",0.08
"agencies",0.08
"allowed",0.08
"alone",0.08
"already",0.08
"anyone",0.08
"applies",0.08
"arrive",0.08
"asian",0.08
"average",0.08
"basic",0.08
"beaches",0.08
"beware",0.08
"biggest",0.08
"book",0.08
"booking",0.08
"bring",0.08
"can",0.08
"cautious",0.08
"central",0.08
"cheapest",0.08
"city's",0.08
"close",0.08
"coins",0.08
"comes",0.08
"commonly",0.08
"completely",0.08
"costs",0.08
"coverage",0.08
"customers",0.08
"dark",0.08
"day",0.08
"decent",0.08
"discuss",0.08
"dollars",0.08
"drinks",0.08
"early",0.08
"eastern",0.08
"electronic",0.08
"entering",0.08
"ethnic",0.08
"eu",0.08
"every",0.08
"expected",0.08
"experience",0.08
"fast",0.08
"fresh",0.08
"government",0.08
"great",0.08
"hands",0.08
"heavily",0.08
"high",0.08
"huge",0.08
"include",0.08
"including",0.08
"increasing",0.08
"inside",0.08
"insist",0.08
"intend",0.08
"issue",0.08
"largest",0.08
"last",0.08
"laws",0.08
"leave",0.08
"license",0.08
"limit",0.08
"lines",0.08
"list",0.08
"little",0.08
"local",0.08
"locations",0.08
"luggage",0.08
"mainly",0.08
"makes",0.08
"making",0.08
"mean",0.08
"middle",0.08
"mix",0.08
"modern",0.08
"months",0.08
"museums",0.08
"music",0.08
"networks",0.08
"nice",0.08
"notes",0.08
"notice",0.08
"obtain",0.08
"occur",0.08
"operate",0.08
"options",0.08
"part",0.08
"passengers",0.08
"petty",0.08
"phones",0.08
"please",0.08
"polite",0.08
"prefer",0.08
"pretty",0.08
"public",0.08
"put",0.08
"rates",0.08
"real",0.08
"really",0.08
"refuse",0.08
"renting",0.08
"rice",0.08
"rules",0.08
"safest",0.08
"safety",0.08
"say",0.08
"second",0.08
"sense",0.08
"services",0.08
"simply",0.08
"social",0.08
"special",0.08
"speed",0.08
"staff",0.08
"stations",0.08
"stick",0.08
"strict",0.08
"taking",0.08
"taxi",0.08
"therefore",0.08
"top",0.08
"treated",0.08
"trip",0.08
"types",0.08
"ubiquitous",0.08
"understood",0.08
"useful",0.08
"usual",0.08
"various",0.08
"vendors",0.08
"visit",0.08
"visiting",0.08
"visitors",0.08
"wait",0.08
"waiting",0.08
"warm",0.08
"way",0.08
"weather",0.08
"whole",0.08
"within",0.08
"younger",0.08
"ambulance",0.07
"avoiding",0.07
"back",0.07
"bad",0.07
"bags",0.07
"based",0.07
"beautiful",0.07
"calling",0.07
"certainly",0.07
"choose",0.07
"class",0.07
"cold",0.07
"come",0.07
"conditions",0.07
"cooked",0.07
"country's",0.07
"crimes",0.07
"crowd",0.07
"cuisine",0.07
"cultural",0.07
"days",0.07
"deal",0.07
"definitely",0.07
"delicious",0.07
"dialect",0.07
"dress",0.07
"easy",0.07
"end",0.07
"enjoy",0.07
"enter",0.07
"entry",0.07
"except",0.07
"fact",0.07
"famous",0.07
"finding",0.07
"first",0.07
"fixed",0.07
"following",0.07
"fried",0.07
"friendly",0.07
"given",0.07
"gsm",0.07
"imported",0.07
"internet",0.07
"job",0.07
"leaving",0.07
"let",0.07
"lively",0.07
"lost",0.07
"lower",0.07
"markets",0.07
"matter",0.07
"medical",0.07
"mixed",0.07
"northern",0.07
"now",0.07
"one",0.07
"option",0.07
"order",0.07
"packed",0.07
"paid",0.07
"passports",0.07
"payment",0.07
"perhaps",0.07
"personal",0.07
"proper",0.07
"providers",0.07
"quickly",0.07
"quiet",0.07
"rainy",0.07
"rare",0.07
"reasonable",0.07
"receive",0.07
"refer",0.07
"reliable",0.07
"remain",0.07
"save",0.07
"selection",0.07
"selling",0.07
"side",0.07
"specific",0.07
"spend",0.07
"surcharge",0.07
"surprised",0.07
"taken",0.07
"talking",0.07
"taste",0.07
"theft",0.07
"think",0.07
"thus",0.07
"travelers",0.07
"travelling",0.07
"true",0.07
"type",0.07
"typical",0.07
"virtually",0.07
"wary",0.07
"watch",0.07
"western",0.07
"wide",0.07
"willing",0.07
"words",0.07
